Date,Open,High,Low,Close,Volume,WMA_10,WMA_30
2010-07-11,103.63999938964844,107.97000122070312,101.87999725341797,107.95999908447266,866546700,108.9890007019043,112.16666717529297
2010-07-18,107.5999984741211,110.08999633789062,106.44999694824219,106.66000366210938,1043767600,108.52900085449218,112.04833399454752
2010-07-25,107.05000305175781,110.56999969482422,105.81999969482422,110.41000366210938,1206200500,108.18100128173828,111.97933400472006
2010-08-01,110.5999984741211,112.29000091552734,108.9800033569336,110.2699966430664,992577200,108.29700088500977,111.94033381144206
2010-08-08,111.98999786376953,113.11000061035156,110.91999816894531,112.38999938964844,873294300,108.5990005493164,111.86766713460287
2010-08-15,112.91999816894531,113.18000030517578,107.5999984741211,108.30999755859375,1035364700,108.74800033569336,111.69000040690104
2010-08-22,107.56999969482422,110.38999938964844,106.75,107.52999877929688,978649500,108.53300018310547,111.63400039672851
2010-08-29,108.04000091552734,108.56999969482422,104.29000091552734,106.86000061035156,1213491400,108.04599990844727,111.61633377075195
2010-09-05,106.58000183105469,110.98999786376953,104.48999786376953,110.88999938964844,1066309300,108.3479995727539,111.75733362833658
2010-09-12,110.37000274658203,111.68000030517578,109.55000305175781,111.4800033569336,566735000,109.27600021362305,111.87200037638347
2010-09-19,112.58000183105469,113.29000091552734,111.9800033569336,112.48999786376953,952735300,109.72900009155273,111.91700032552083
2010-09-26,112.87999725341797,114.9000015258789,112.18000030517578,114.81999969482422,1086292800,110.54499969482421,112.053000386556
2010-10-03,114.86000061035156,115.79000091552734,113.18000030517578,114.61000061035156,979380500,110.96499938964844,112.06500040690104
2010-10-10,114.37000274658203,116.86000061035156,113.18000030517578,116.54000091552734,887034000,111.59199981689453,112.1010004679362
2010-10-17,116.72000122070312,118.55000305175781,115.6500015258789,117.69999694824219,941124800,112.12299957275391,112.1586669921875
2010-10-24,117.73999786376953,119.08999633789062,116.0199966430664,118.3499984741211,951659200,113.12699966430664,112.21766688028971
2010-10-31,119.13999938964844,119.76000213623047,117.26000213623047,118.48999786376953,813034100,114.2229995727539,112.24066670735677
2010-11-07,119.06999969482422,122.91999816894531,117.8499984741211,122.72000122070312,954817000,115.80899963378906,112.34633331298828
2010-11-14,122.33999633789062,122.94999694824219,119.6500015258789,120.19999694824219,961202500,116.73999938964843,112.37433319091797
2010-11-21,120.58000183105469,121.05000305175781,117.58999633789062,120.29000091552734,990392500,117.62099914550781,112.32366663614908
